Object,RA2000,DE2000,RA,Dec,redshift,MType,sma_host,smb_host,sma_ring,smb_ring,PA,Av,Ag,Ar,Az,rmag_host,rmag_ring,rmag_total,gmag_host,gmag_ring,gmag_total,zmag_host,zmag_ring,zmag_total,rmag_host_error,rmag_ring_error,rmag_total_error,gmag_host_error,gmag_ring_error,gmag_total_error,zmag_host_error,zmag_ring_error,zmag_total_error,g_r_host,g_r_ring,g_r_total,g_r_host_err,g_r_ring_err,g_r_total_err,r_z_host,r_z_ring,r_z_total,r_z_host_err,r_z_ring_err,r_z_total_err
FM 298-9,02 09 44.20,-37 33 02.79,32.43416667,-37.550775,,HL,5.13,5.11,22.97,20.17,0,0.037,0.045038959596795,0.0307887164954421,0.0169185340367381,18.7035694118165,17.7138919389545,17.3470914624163,19.9561080656617,18.3037255881873,18.0893429909377,17.9701177050553,17.3450691207203,16.8606468067819,0.0100758321498791,0.0060121688462769,0.0031697955304048,0.0095976540814535,0.0035063688470555,0.0023078029405449,0.0105708235010321,0.0086325380768566,0.0040068844712957,1.25253865384514,0.589833649232748,0.74225152852144,0.0139153640764365,0.0069599422934205,0.0039209129188191,0.733451706761215,0.368822818234261,0.48644465563444,0.0146035852790508,0.0105198330730351,0.0051090827817608
FM 438-6,11 00 22.66,-28 45 42.78,165.0944167,-28.76188333,,HL,6.95,6.52,24.49,23.1,48,0.139,0.169200415782554,0.115665718726121,0.0635588170569353,17.9564975990942,16.877834221332,16.5358079555323,19.0044971499188,17.6284581737963,17.3591034251788,17.2653706610675,16.3966885448536,15.9937999949929,0.0089218040845742,0.0048991723502493,0.0026401474303786,0.0082118247582402,0.0036126628368294,0.0021659435613223,0.010920194350789,0.0071150552448613,0.0035554288398359,1.04799955082465,0.750623952464228,0.823295469646435,0.012125702205793,0.006087135819912,0.0034149216630793,0.691126938026649,0.481145676478459,0.542007960539463,0.014101391164794,0.0086386284128255,0.0044284819847519
HRG 19504,01 04 56.59,-47 11 08.61,16.23579167,-47.185725,0.138,E,11.84,8.56,22.09,16.85,39,0.04,0.0486907671316702,0.0332850989139915,0.0182903070667439,17.1072175569075,17.7738349901094,16.6375742358431,18.0501307741567,18.3871582591141,17.4530444488499,16.4758554732793,17.3950435516515,16.088374352887,0.006357294065494,0.0167613114426926,0.0041985035583522,0.0060365520170642,0.0118590502511909,0.0036103108118163,0.0075251710152097,0.0249376313660042,0.0053186335592774,0.94291321724911,0.613323269004606,0.815470213006726,0.0087667067984442,0.0205323801381917,0.0055373076749819,0.631362083628222,0.378791438457949,0.549199882956142,0.0098510601786467,0.0300470800482452,0.0067760825753062
HRG 19501,00 48 21.34,-47 52 20.31,12.08891667,-47.87230833,0.075,E,10.29,8.58,27.18,18.6,96,0.031,0.0377353445270444,0.0257959516583434,0.0141749879767265,16.1956401955737,16.1518976138201,15.4209736405686,17.1297299854424,16.8563867779105,16.231903958398,15.5885269258746,15.6921166095445,14.8865118152507,0.0063675786935486,0.008903067779864,0.0033000224677652,0.0053214074826215,0.0061071110614465,0.002527471214402,0.006616046079698,0.0105138985105148,0.0036128182628427,0.934089789868697,0.704489164090447,0.810930317829426,0.0082983996056249,0.0107963614893952,0.0041567125264307,0.607113269699116,0.45978100427558,0.534461825317836,0.009182490084243,0.013777034433515,0.0048931180333286
FM 197-28,02 17 16.22,-48 42 47.92,34.31758333,-48.71331111,,E,12.11,9.98,28.2,25.59,0,0.058,0.0706016123409219,0.0482633934252877,0.0265209452467787,16.9848979161643,17.1000705288156,16.2883827902501,17.8747391283274,17.6449837177913,17.0012203483958,16.3927886915988,16.7173710533659,15.7904204894036,0.0056086668429467,0.0089081421888223,0.0030120024654536,0.0051141086634274,0.0059902603766117,0.0023935500875838,0.006180067372758,0.0118621993615532,0.0035946598839736,0.889841212163073,0.544913188975688,0.712837558145733,0.0075902075845469,0.010734906456783,0.0038472380838299,0.592109224565544,0.382699475449677,0.497962300846455,0.0083456801093139,0.0148346476516805,0.004689748237736
HRG 08204,03 15 18.88,-64 38 29.64,48.82866667,-64.64156667,,E,14.77,10.09,27.15,23.02,0,0.084,0.102250610976508,0.0698987077193822,0.0384096448401623,16.509459790743,16.8671523534015,15.9210671250087,17.3925938614993,17.4834293789702,16.6844869660057,15.9163116404158,16.442873992246,15.3954042017083,0.0050143887065557,0.0099467043280033,0.0029684625284084,0.004555626561554,0.0071296665563396,0.0024568991313095,0.0056219611096258,0.0129888116139581,0.0035202924240223,0.883134070756324,0.616277025568746,0.763419840996994,0.0067747935369848,0.0122380174944027,0.0038533262415729,0.593148150327208,0.424278361155462,0.525662923300331,0.0075332954819639,0.016359894685835,0.0046048049397552
HRG 35002,00 37 40.82,-33 42 58.31,9.420083333,-33.71619722,0.030187,E,22.26,11.36,93.53,63.05,129,0.029,0.0353008061704609,0.0241316967126438,0.0132604726233893,15.5841407592683,13.4712811995256,13.3263156388849,16.3219548870142,13.7678832666188,13.6692073799831,15.0632024292696,13.274329636731,13.083175535826,0.0022999725527154,0.0018145300066589,0.0015614936361651,0.0022103079816142,0.0012152195642018,0.001092904852149,0.0024222583051962,0.0029892337556305,0.0024759889694273,0.737814127745923,0.296602067093266,0.342891741098242,0.0031898801101031,0.0021838676091477,0.0019059652125984,0.520938329998737,0.196951562794611,0.24314010305884,0.0033402408656167,0.0034968611054582,0.002927248495176
HRG 20202,04 24 31.62,-49 34 28.39,66.13175,-49.57455278,0.042876,E,20.33,11.92,47.83,20.49,106,0.035,0.0426044212402115,0.0291244615497425,0.0160040186834009,15.2757941987843,15.9773918702402,14.8183062989407,16.1180343993119,16.6389560306481,15.5949739576545,14.7068759085709,15.5217773409866,14.2870282760452,0.0043514367443452,0.0117935715606193,0.0028796450055322,0.0041159392867565,0.0094675664004752,0.0025761932305606,0.0044529556846172,0.0133853456319276,0.0030458621501412,0.842240200527566,0.661564160407895,0.776667658713798,0.0059896542431348,0.0151235955943967,0.0038638228374335,0.568918290213482,0.455614529253602,0.531278022895457,0.0062260594334781,0.017839725553988,0.0041916144378449
HRG 24701,02 43 16.85,-42 30 40.39,40.82020833,-42.51121944,0.103504,HL,18.56,11.93,35.68,35.14,68,0.058,0.0706016123409219,0.0482633934252877,0.0265209452467787,16.1615777366078,16.515326407021,15.5715333008864,17.0916937146339,17.5229642681545,16.5334799298041,15.5240146905822,15.287245906173,14.6466139739044,0.0050840602060246,0.0110938511440233,0.003593924358298,0.0045758279311766,0.0099199657517935,0.0029005629984654,0.005423162221526,0.0120222025024262,0.0062101388450922,0.930115978026056,1.0076378611335,0.961946628917698,0.0068400196954555,0.0148821790649926,0.0046183934437458,0.637563046025644,1.22808050084803,0.924919326981962,0.0074335964821525,0.0163586945143887,0.0071751039552393
HRG 15703,04 35 11.89,-54 12 19.41,68.79954167,-54.20539167,0.040555,E,15.33,13.45,56.61,30.86,23,0.017,0.0206935760309598,0.0141461670384463,0.0077733805033661,14.9601089560992,14.5145473354041,13.9620557076571,15.8496303140066,15.1171127180465,14.6701575184388,14.3380853495261,14.1091755685292,13.4650338732086,0.0046337323992609,0.0044190459786766,0.001908529279466,0.0044699591972475,0.0033198676071633,0.0016008995734376,0.0048625502622665,0.0056254470563979,0.0022194333234354,0.889521357907386,0.602565382642336,0.708101810781788,0.0064383236306525,0.0055271591519288,0.0024910566944194,0.622023606573119,0.405371766874911,0.497021834448436,0.0067168348945785,0.0071535740679742,0.0029271775292514
